sku,sku,visibility,name,website_ids,price,attribute_set_id,category_ids,brand,short_description,description,weight,qty,tier_qty,tier_price,customer_group_id,meta_title,meta_keyword,meta_description,legacy_id
iphone36,demo-10147,4,Phone Protective Case x1_35,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X36,Phone Model X1 keyword,Phone Model X1 desc,36
iphone37,demo-10148,4,Phone Model X1_36,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X37,Phone Model X1 keyword,Phone Model X1 desc,37
iphone38,demo-10149,4,Phone Protective Case1_37,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X38,Phone Model X1 keyword,Phone Model X1 desc,38
iphone39,demo-10150,4,Phone Model y1_38,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X39,Phone Model X1 keyword,Phone Model X1 desc,39
iphone40,demo-10151,4,Phone Protective Case x1_39,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X40,Phone Model X1 keyword,Phone Model X1 desc,40
iphone41,demo-10152,4,Phone Model X1_40,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X41,Phone Model X1 keyword,Phone Model X1 desc,41
iphone42,demo-10153,4,Phone Protective Case1_41,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X42,Phone Model X1 keyword,Phone Model X1 desc,42
iphone43,demo-10154,4,Phone Model y1_42,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X43,Phone Model X1 keyword,Phone Model X1 desc,43
iphone44,demo-10155,4,Phone Protective Case x1_43,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X44,Phone Model X1 keyword,Phone Model X1 desc,44
iphone45,demo-10156,4,Phone Model X1_44,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X45,Phone Model X1 keyword,Phone Model X1 desc,45
iphone46,demo-10157,4,Phone Protective Case1_45,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X46,Phone Model X1 keyword,Phone Model X1 desc,46
iphone47,demo-10158,4,Phone Model y1_46,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X47,Phone Model X1 keyword,Phone Model X1 desc,47
iphone48,demo-10159,4,Phone Protective Case x1_47,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X48,Phone Model X1 keyword,Phone Model X1 desc,48
iphone49,demo-10160,4,Phone Model X1_48,1,501,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X49,Phone Model X1 keyword,Phone Model X1 desc,49
iphone50,demo-10161,4,Phone Protective Case1_49,1,21,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X50,Phone Model X1 keyword,Phone Model X1 desc,50
iphone51,demo-10162,4,Phone Model y1_50,1,51,4,4,brand name,short description,description,0,100,5,10,0,Phone Model X51,Phone Model X1 keyword,Phone Model X1 desc,51
iphone52,demo-10163,4,Phone Protective Case x1_51,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X52,Phone Model X1 keyword,Phone Model X1 desc,52
iphone53,demo-10164,4,Phone Protective Case x2_52,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X53,Phone Model X1 keyword,Phone Model X1 desc,53
iphone54,demo-10165,4,Phone Protective Case x3_53,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X54,Phone Model X1 keyword,Phone Model X1 desc,54
iphone55,demo-10166,4,Phone Protective Case x4_54,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X55,Phone Model X1 keyword,Phone Model X1 desc,55
iphone56,demo-10167,4,Phone Protective Case x5_55,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X56,Phone Model X1 keyword,Phone Model X1 desc,56
iphone57,demo-10168,4,Phone Protective Case x6_56,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X57,Phone Model X1 keyword,Phone Model X1 desc,57
iphone58,demo-10169,4,Phone Protective Case x7_57,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X58,Phone Model X1 keyword,Phone Model X1 desc,58
iphone59,demo-10170,4,Phone Protective Case x8_58,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X59,Phone Model X1 keyword,Phone Model X1 desc,59
iphone60,demo-10171,4,Phone Protective Case x9_59,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X60,Phone Model X1 keyword,Phone Model X1 desc,60
iphone61,demo-10172,4,Phone Protective Case x10_60,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X61,Phone Model X1 keyword,Phone Model X1 desc,61
iphone62,demo-10173,4,Phone Protective Case x11_61,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X62,Phone Model X1 keyword,Phone Model X1 desc,62
iphone63,demo-10174,4,Phone Protective Case x12_62,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X63,Phone Model X1 keyword,Phone Model X1 desc,63
iphone64,demo-10175,4,Phone Protective Case x13_63,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X64,Phone Model X1 keyword,Phone Model X1 desc,64
iphone65,demo-10176,4,Phone Protective Case x14_64,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X65,Phone Model X1 keyword,Phone Model X1 desc,65
iphone66,demo-10177,4,Phone Protective Case x15_65,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X66,Phone Model X1 keyword,Phone Model X1 desc,66
iphone67,demo-10178,4,Phone Protective Case x16_66,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X67,Phone Model X1 keyword,Phone Model X1 desc,67
iphone68,demo-10179,4,Phone Protective Case x17_67,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X68,Phone Model X1 keyword,Phone Model X1 desc,68
iphone69,demo-10180,4,Phone Protective Case x18_68,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X69,Phone Model X1 keyword,Phone Model X1 desc,69
iphone70,demo-10181,4,Phone Protective Case x19_69,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X70,Phone Model X1 keyword,Phone Model X1 desc,70
iphone71,demo-10182,4,Phone Protective Case x20_70,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X71,Phone Model X1 keyword,Phone Model X1 desc,71
iphone72,demo-10183,4,Phone Protective Case x21_71,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X72,Phone Model X1 keyword,Phone Model X1 desc,72
iphone73,demo-10184,4,Phone Protective Case x22_72,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X73,Phone Model X1 keyword,Phone Model X1 desc,73
iphone74,demo-10185,4,Phone Protective Case x23_73,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X74,Phone Model X1 keyword,Phone Model X1 desc,74
iphone75,demo-10186,4,Phone Protective Case x24_74,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X75,Phone Model X1 keyword,Phone Model X1 desc,75
iphone76,demo-10187,4,Phone Protective Case x25_75,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X76,Phone Model X1 keyword,Phone Model X1 desc,76
iphone77,demo-10188,4,Phone Protective Case x26_76,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X77,Phone Model X1 keyword,Phone Model X1 desc,77
iphone78,demo-10189,4,Phone Protective Case x27_77,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X78,Phone Model X1 keyword,Phone Model X1 desc,78
iphone79,demo-10190,4,Phone Protective Case x28_78,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X79,Phone Model X1 keyword,Phone Model X1 desc,79
iphone80,demo-10191,4,Phone Protective Case x29_79,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X80,Phone Model X1 keyword,Phone Model X1 desc,80
iphone81,demo-10192,4,Phone Protective Case x30_80,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X81,Phone Model X1 keyword,Phone Model X1 desc,81
iphone82,demo-10193,4,Phone Protective Case x31_81,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X82,Phone Model X1 keyword,Phone Model X1 desc,82
iphone83,demo-10194,4,Phone Protective Case x32_82,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X83,Phone Model X1 keyword,Phone Model X1 desc,83
iphone84,demo-10195,4,Phone Protective Case x33_83,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X84,Phone Model X1 keyword,Phone Model X1 desc,84
iphone85,demo-10196,4,Phone Protective Case x34_84,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X85,Phone Model X1 keyword,Phone Model X1 desc,85
iphone86,demo-10197,4,Phone Protective Case x35_85,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X86,Phone Model X1 keyword,Phone Model X1 desc,86
iphone87,demo-10198,4,Phone Protective Case x36_86,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X87,Phone Model X1 keyword,Phone Model X1 desc,87
iphone88,demo-10199,4,Phone Protective Case x37_87,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X88,Phone Model X1 keyword,Phone Model X1 desc,88
iphone89,demo-10200,4,Phone Protective Case x38_88,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X89,Phone Model X1 keyword,Phone Model X1 desc,89
iphone90,demo-10201,4,Phone Protective Case x39_89,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X90,Phone Model X1 keyword,Phone Model X1 desc,90
iphone91,demo-10202,4,Phone Protective Case x40_90,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X91,Phone Model X1 keyword,Phone Model X1 desc,91
iphone92,demo-10203,4,Phone Protective Case x41_91,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X92,Phone Model X1 keyword,Phone Model X1 desc,92
iphone93,demo-10204,4,Phone Protective Case x42_92,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X93,Phone Model X1 keyword,Phone Model X1 desc,93
iphone94,demo-10205,4,Phone Protective Case x43_93,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X94,Phone Model X1 keyword,Phone Model X1 desc,94
iphone95,demo-10206,4,Phone Protective Case x44_94,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X95,Phone Model X1 keyword,Phone Model X1 desc,95
iphone96,demo-10207,4,Phone Protective Case x45_95,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X96,Phone Model X1 keyword,Phone Model X1 desc,96
iphone97,demo-10208,4,Phone Protective Case x46_96,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X97,Phone Model X1 keyword,Phone Model X1 desc,97
iphone98,demo-10209,4,Phone Protective Case x47_97,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X98,Phone Model X1 keyword,Phone Model X1 desc,98
iphone99,demo-10210,4,Phone Protective Case x48_98,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X99,Phone Model X1 keyword,Phone Model X1 desc,99
iphone100,demo-10211,4,Phone Protective Case x49_99,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X100,Phone Model X1 keyword,Phone Model X1 desc,100
iphone101,demo-10212,4,Phone Protective Case x50_100,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X101,Phone Model X1 keyword,Phone Model X1 desc,101
iphone102,demo-10213,4,Phone Protective Case x51_101,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X102,Phone Model X1 keyword,Phone Model X1 desc,102
iphone103,demo-10214,4,Phone Protective Case x52_102,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X103,Phone Model X1 keyword,Phone Model X1 desc,103
iphone104,demo-10215,4,Phone Protective Case x53_103,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X104,Phone Model X1 keyword,Phone Model X1 desc,104
iphone105,demo-10216,4,Phone Protective Case x54_104,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X105,Phone Model X1 keyword,Phone Model X1 desc,105
iphone106,demo-10217,4,Phone Protective Case x55_105,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X106,Phone Model X1 keyword,Phone Model X1 desc,106
iphone107,demo-10218,4,Phone Protective Case x56_106,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X107,Phone Model X1 keyword,Phone Model X1 desc,107
iphone108,demo-10219,4,Phone Protective Case x57_107,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X108,Phone Model X1 keyword,Phone Model X1 desc,108
iphone109,demo-10220,4,Phone Protective Case x58_108,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X109,Phone Model X1 keyword,Phone Model X1 desc,109
iphone110,demo-10221,4,Phone Protective Case x59_109,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X110,Phone Model X1 keyword,Phone Model X1 desc,110
iphone111,demo-10222,4,Phone Protective Case x60_110,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X111,Phone Model X1 keyword,Phone Model X1 desc,111
iphone112,demo-10223,4,Phone Protective Case x61_111,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X112,Phone Model X1 keyword,Phone Model X1 desc,112
iphone113,demo-10224,4,Phone Protective Case x62_112,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X113,Phone Model X1 keyword,Phone Model X1 desc,113
iphone114,demo-10225,4,Phone Protective Case x63_113,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X114,Phone Model X1 keyword,Phone Model X1 desc,114
iphone115,demo-10226,4,Phone Protective Case x64_114,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X115,Phone Model X1 keyword,Phone Model X1 desc,115
iphone116,demo-10227,4,Phone Protective Case x65_115,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X116,Phone Model X1 keyword,Phone Model X1 desc,116
iphone117,demo-10228,4,Phone Protective Case x66_116,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X117,Phone Model X1 keyword,Phone Model X1 desc,117
iphone118,demo-10229,4,Phone Protective Case x67_117,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X118,Phone Model X1 keyword,Phone Model X1 desc,118
iphone119,demo-10230,4,Phone Protective Case x68_118,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X119,Phone Model X1 keyword,Phone Model X1 desc,119
iphone120,demo-10231,4,Phone Protective Case x69_119,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X120,Phone Model X1 keyword,Phone Model X1 desc,120
iphone121,demo-10232,4,Phone Protective Case x70_120,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X121,Phone Model X1 keyword,Phone Model X1 desc,121
iphone122,demo-10233,4,Phone Protective Case x71_121,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X122,Phone Model X1 keyword,Phone Model X1 desc,122
iphone123,demo-10234,4,Phone Protective Case x72_122,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X123,Phone Model X1 keyword,Phone Model X1 desc,123
iphone124,demo-10235,4,Phone Protective Case x73_123,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X124,Phone Model X1 keyword,Phone Model X1 desc,124
iphone125,demo-10236,4,Phone Protective Case x74_124,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X125,Phone Model X1 keyword,Phone Model X1 desc,125
iphone126,demo-10237,4,Phone Protective Case x75_125,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X126,Phone Model X1 keyword,Phone Model X1 desc,126
iphone127,demo-10238,4,Phone Protective Case x76_126,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X127,Phone Model X1 keyword,Phone Model X1 desc,127
iphone128,demo-10239,4,Phone Protective Case x77_127,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X128,Phone Model X1 keyword,Phone Model X1 desc,128
iphone129,demo-10240,4,Phone Protective Case x78_128,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X129,Phone Model X1 keyword,Phone Model X1 desc,129
iphone130,demo-10241,4,Phone Protective Case x79_129,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X130,Phone Model X1 keyword,Phone Model X1 desc,130
iphone131,demo-10242,4,Phone Protective Case x80_130,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X131,Phone Model X1 keyword,Phone Model X1 desc,131
iphone132,demo-10243,4,Phone Protective Case x81_131,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X132,Phone Model X1 keyword,Phone Model X1 desc,132
iphone133,demo-10244,4,Phone Protective Case x82_132,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X133,Phone Model X1 keyword,Phone Model X1 desc,133
iphone134,demo-10245,4,Phone Protective Case x83_133,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X134,Phone Model X1 keyword,Phone Model X1 desc,134
iphone135,demo-10246,4,Phone Protective Case x84_134,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X135,Phone Model X1 keyword,Phone Model X1 desc,135
iphone136,demo-10247,4,Phone Protective Case x85_135,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X136,Phone Model X1 keyword,Phone Model X1 desc,136
iphone137,demo-10248,4,Phone Protective Case x86_136,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X137,Phone Model X1 keyword,Phone Model X1 desc,137
iphone138,demo-10249,4,Phone Protective Case x87_137,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X138,Phone Model X1 keyword,Phone Model X1 desc,138
iphone139,demo-10250,4,Phone Protective Case x88_138,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X139,Phone Model X1 keyword,Phone Model X1 desc,139
iphone140,demo-10251,4,Phone Protective Case x89_139,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X140,Phone Model X1 keyword,Phone Model X1 desc,140
iphone141,demo-10252,4,Phone Protective Case x90_140,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X141,Phone Model X1 keyword,Phone Model X1 desc,141
iphone142,demo-10253,4,Phone Protective Case x91_141,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X142,Phone Model X1 keyword,Phone Model X1 desc,142
iphone143,demo-10254,4,Phone Protective Case x92_142,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X143,Phone Model X1 keyword,Phone Model X1 desc,143
iphone144,demo-10255,4,Phone Protective Case x93_143,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X144,Phone Model X1 keyword,Phone Model X1 desc,144
iphone145,demo-10256,4,Phone Protective Case x94_144,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X145,Phone Model X1 keyword,Phone Model X1 desc,145
iphone146,demo-10257,4,Phone Protective Case x95_145,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X146,Phone Model X1 keyword,Phone Model X1 desc,146
iphone147,demo-10258,4,Phone Protective Case x96_146,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X147,Phone Model X1 keyword,Phone Model X1 desc,147
iphone148,demo-10259,4,Phone Protective Case x97_147,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X148,Phone Model X1 keyword,Phone Model X1 desc,148
iphone149,demo-10260,4,Phone Protective Case x98_148,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X149,Phone Model X1 keyword,Phone Model X1 desc,149
iphone150,demo-10261,4,Phone Protective Case x99_149,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X150,Phone Model X1 keyword,Phone Model X1 desc,150
iphone151,demo-10262,4,Phone Protective Case x100_150,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X151,Phone Model X1 keyword,Phone Model X1 desc,151
iphone152,demo-10263,4,Phone Protective Case x101_151,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X152,Phone Model X1 keyword,Phone Model X1 desc,152
iphone153,demo-10264,4,Phone Protective Case x102_152,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X153,Phone Model X1 keyword,Phone Model X1 desc,153
iphone154,demo-10265,4,Phone Protective Case x103_153,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X154,Phone Model X1 keyword,Phone Model X1 desc,154
iphone155,demo-10266,4,Phone Protective Case x104_154,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X155,Phone Model X1 keyword,Phone Model X1 desc,155
iphone156,demo-10267,4,Phone Protective Case x105_155,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X156,Phone Model X1 keyword,Phone Model X1 desc,156
iphone157,demo-10268,4,Phone Protective Case x106_156,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X157,Phone Model X1 keyword,Phone Model X1 desc,157
iphone158,demo-10269,4,Phone Protective Case x107_157,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X158,Phone Model X1 keyword,Phone Model X1 desc,158
iphone159,demo-10270,4,Phone Protective Case x108_158,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X159,Phone Model X1 keyword,Phone Model X1 desc,159
iphone160,demo-10271,4,Phone Protective Case x109_159,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X160,Phone Model X1 keyword,Phone Model X1 desc,160
iphone161,demo-10272,4,Phone Protective Case x110_160,1,201,4,5,brand name,short description,description,0,100,5,10,0,Phone Model X161,Phone Model X1 keyword,Phone Model X1 desc,161
